Product Name,Current Price,Original Price,Image URL,Stock,item_id
KOOLEY Jam Tangan Wanita Doukou Oval DK11 Stainless Vintage Watch Women COD - Silver white,Rp89.000,Rp311.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/dd9bcdd18e5e4fd68f8880501a708673~.jpeg.webp?ect=4g,8.038,44
Jims Honey - Jam Tangan Wanita Kode 8123 Berlian Elegan - L01,Rp60.000,Rp129.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/af7e79c1a41d40dd95c9e131ec778dfc~.jpeg.webp?ect=4g,1.022,45
PhiLipe Ricci Jam Tangan Wanita Kulit Hitam Bulat Kecil Terbaru Original 6989 Women Watches Free Box - Cokelat Muda,Rp54.900,Rp119.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/93fa30894ea943e1833ee373cf1b03f3~.jpeg.webp?ect=4g,470,46
PhiLipe Ricci Jam Tangan Wanita Kecil Analog 100% Oriinal Tali Rantai Stainless steel Dial Kotak Simpel Modern 6450 Perempuan Free Box - Rose Gold,Rp86.630,Rp119.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/576c45649a68483db6dbe67bf67c5d06~.jpeg.webp?ect=4g,982,47
Julius Elegant Watch Original JA-979 - Pink,Rp335.000,Rp590.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/8ebef6c100d54015b229b7a911673bae~.jpeg.webp?ect=4g,20,48
Miffy - Jam Tangan Wanita Dial Bulat Strap Pu / Jam Tangan Kecil Gaya Casual - Hitam,Rp11.790,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/0aba1114862c4aee8522cdfbe10a5c94~.jpeg.webp?ect=4g,"37,6 rb",49
Jam Tangan Wanita Digital Tali Stainless SKMEI 1123 - Silver,Rp70.442,Rp180.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/75c224adb8f5451fbdcf3868dcddcc5f~.jpeg.webp?ect=4g,174,50
"Paddywatch G Series Candy - Jam Tangan Rubber Digital Custom Gambar - Sage, Colorful Night",Rp39.000,Rp150.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/6/22/b9d90849-8ad6-4879-a5d2-c4f845093113.png.webp?ect=4g,139,51
"Tali Jam Tangan Wanita Leather Strap Asli Ukuran 12 14 16 18 mm - black, 12mm",Rp50.000,Rp210.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/9/2/27b4bbe5-65a8-4c6d-a29b-f84c3a2a4428.jpg.webp?ect=4g,194,52
"Tali Jam Tangan Kulit / Handmade Leather Strap Embossed Pebble Pattern - Black, Standar",Rp265.000,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/11/3/fe05a23b-8007-4e42-b1a9-3ca2e4f3072d.jpg.webp?ect=4g,61,53
