Product Name,Current Price,Original Price,Image URL,Stock,item_id
Viva Queen Covering Cream (WATERPROOF) - 22gr (Tersedia 4 Varian Warna Foundation) - Beige,Rp10.397,Rp14.050,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/4f6b50a9e738435c8c53246cf9be1d3e~.jpeg.webp?ect=4g,13,54
BLP - Face Base - 33ml - Foundation - N10 - Ivory,Rp99.500,Rp199.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/45203368b31b4f69ba74cadd73be3bff~.jpeg.webp?ect=4g,71,55
[Back From Popular Demand] Dear Me Beauty Airy Poreless Fluid Foundation [Belanja 150rb Free Dear Kyla] - C00 - Creme Porcelain,Rp85.000,Rp179.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/6beaa332074a45fd9a5c299eaa94b898~.jpeg.webp?ect=4g,183,56
Mineral Botanica Highlight And Countourl 2.2gr - latte-caramel,Rp89.900,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/5/13/9fda663f-64d5-4626-b9b8-0f5fd12129b7.jpg.webp?ect=4g,576,57
"MOP - Bulletproof Set and Protect Continuous Mist - Satin, 50ml",Rp77.000,Rp129.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/11/aad60a89-f581-4405-a271-08fc6432d082.jpg.webp?ect=4g,Sisa 3,58
Refill Mireya The Art Flawless Setting Spray 80ml - Mireya Setting Spray & Finishing Spray Cosmetics Make Up Face Mist - REFILL-SettingSpray80ml,Rp30.000,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/426c73b245114fa8bc6097a42af021e7~.jpeg.webp?ect=4g,"33,7 rb",59
Evian Facial Spray [50/150/300ml] Spray Wajah / Moisturizer Cairan - 50ml,Rp91.500,Rp128.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/10/3/7619a73a-10e4-4fd9-ae1d-298ba68cc55c.jpg.webp?ect=4g,27,60
The Originote Hyaluberry Lip Protect Serum SPF 50 PA+++ - 2in1 Lip Treatment - Lip SPF,Rp38.000,Rp64.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/64b15c3d7f9f441ea682d8bf1c029e67~.jpeg.webp?ect=4g,"21,5 rb",61
Hanasui Mattedorable Lip Cream | Tintdorable Lipstain | Boba Series | Matcha Series Gloss Lipstick Lipcream Lipstik Waterproof - 01 Kiss,Rp22.909,Rp38.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/72065aaea564493faa75e2beb1165bf3~.jpeg.webp?ect=4g,-,62
LT Pro Long Lasting Matte Lip Cream - 01,Rp85.800,Rp110.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/4/18/e4290366-6cb2-4ac1-b43d-954f2b8f6d44.jpg.webp?ect=4g,142,63
New! Emina Creamatte 4 g - Comfy Matte 9x Moist Boost - 02 Fuzzy Wuzzy,Rp49.500,Rp57.200,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/bcdecf7bf2094e3e9b643879aa291624~.jpeg.webp?ect=4g,88,64
